 ,X,Y
1,354.000,70.000
2,357.500,74.500
3,388.500,78.500
4,390.500,78.500
5,302.500,81.500
6,267.500,82.500
7,299.500,83.500
8,293.500,84.500
9,284.500,86.500
10,287.167,87.500
11,289.500,87.500
12,256.000,92.500
13,407.500,96.214
14,247.900,101.267
15,328.780,256.968
16,332.786,97.643
17,253.500,101.500
18,347.500,102.500
19,245.500,108.500
20,258.000,108.500
21,246.500,110.500
22,271.500,110.500
23,269.500,111.500
24,235.938,118.062
25,403.500,118.500
26,250.500,119.500
27,254.833,125.611
28,386.500,124.500
29,424.500,126.500
30,230.100,130.250
31,223.750,135.500
32,259.000,135.000
33,433.500,134.500
34,436.500,134.500
35,228.500,137.300
36,224.500,138.500
37,247.500,140.167
38,436.310,142.500
39,244.000,142.500
40,227.500,142.500
41,432.500,143.000
42,248.500,143.500
43,217.000,149.000
44,233.500,148.500
45,427.833,149.167
46,223.500,150.500
47,231.500,150.500
48,217.500,152.000
49,434.000,151.500
50,437.167,152.667
51,219.000,160.500
52,224.500,160.500
53,226.500,160.500
54,242.750,160.750
55,411.500,161.500
56,213.357,165.500
57,217.273,165.045
58,211.167,166.500
59,207.500,177.000
60,449.500,176.500
61,449.500,178.500
62,450.500,182.500
63,206.100,184.900
64,207.500,183.500
65,223.500,183.500
66,203.500,184.500
67,210.000,185.000
68,212.500,184.500
69,211.500,186.500
70,214.500,188.500
71,453.500,195.500
72,211.500,197.500
73,201.595,209.929
74,448.500,206.000
75,454.500,208.000
76,453.500,210.500
77,455.500,211.000
78,454.500,215.500
79,456.500,215.500
80,199.500,215.500
81,199.500,219.167
82,208.500,219.000
83,210.500,218.500
84,460.100,224.500
85,460.300,227.300
86,197.500,228.500
87,193.846,236.846
88,460.500,231.500
89,462.500,233.500
90,215.500,236.500
91,220.000,238.000
92,210.500,241.500
93,212.500,241.500
94,461.000,243.000
95,464.500,242.500
96,458.500,244.500
97,221.167,248.500
98,203.375,251.000
99,206.500,250.500
100,198.500,253.000
101,463.500,252.500
102,205.500,253.500
103,195.500,254.500
104,464.000,263.000
105,194.500,264.500
106,193.833,268.000
107,196.500,269.500
108,217.357,273.643
109,465.500,275.000
110,195.500,277.500
111,201.786,279.000
112,197.500,276.500
113,193.125,279.125
114,465.333,279.000
115,443.500,279.500
116,464.500,282.500
117,444.500,283.500
118,189.500,296.000
119,189.167,301.389
120,186.389,303.722
121,468.500,300.500
122,184.500,308.500
123,190.538,312.731
124,196.500,310.500
125,468.500,310.500
126,183.500,311.500
127,469.500,315.500
128,191.000,317.500
129,227.500,319.000
130,269.500,322.500
131,187.500,324.500
132,469.900,328.900
133,187.000,327.500
134,182.167,330.833
135,185.722,331.944
136,188.500,329.500
137,280.300,333.300
138,473.500,331.500
139,229.389,336.278
140,277.500,334.500
141,258.500,335.833
142,261.500,336.500
143,259.500,337.500
144,268.500,337.500
145,472.000,339.000
146,192.500,338.500
147,178.667,345.167
148,188.500,344.500
149,179.500,347.500
150,184.318,349.500
151,473.500,348.500
152,234.500,350.000
153,178.500,358.500
154,177.500,360.500
155,175.000,363.000
156,173.500,365.167
157,170.875,369.812
158,176.500,371.500
159,238.500,371.500
160,243.500,372.500
161,170.500,373.500
162,169.500,375.500
163,508.415,445.506
164,495.700,385.300
165,163.812,390.750
166,191.500,388.500
167,493.500,392.611
168,501.833,396.315
169,160.500,395.500
170,498.500,394.500
171,516.173,397.765
172,157.500,395.500
173,359.500,398.000
174,159.700,398.300
175,158.500,401.500
176,510.000,402.500
177,533.750,404.938
178,155.167,404.167
179,514.000,403.500
180,366.500,405.500
181,155.786,407.643
182,368.000,407.000
183,543.900,408.500
184,331.500,408.500
185,527.333,408.167
186,151.500,408.500
187,523.500,408.500
188,158.500,410.500
189,371.500,409.500
190,388.500,409.500
191,151.500,410.500
192,173.500,410.500
193,166.750,412.000
194,387.500,411.500
195,528.500,411.500
196,553.750,413.875
197,357.500,413.167
198,150.136,415.591
199,373.214,415.929
200,505.000,415.000
201,502.000,418.000
202,153.500,418.500
203,547.318,420.409
204,557.692,455.529
205,528.500,419.500
206,149.500,420.500
207,562.500,420.500
208,149.500,423.500
209,147.500,424.500
210,133.076,450.418
211,374.500,426.000
212,529.000,427.000
213,520.000,432.500
214,561.000,432.500
215,573.500,432.500
216,571.500,435.500
217,519.833,439.167
218,568.500,438.500
219,138.500,440.500
220,316.167,441.167
221,509.500,442.000
222,328.000,443.500
223,332.500,443.500
224,327.500,445.500
225,320.733,450.100
226,603.000,451.000
227,591.233,455.300
228,138.500,455.000
229,320.667,458.333
230,322.500,456.500
231,528.500,456.500
232,124.500,457.500
233,323.500,458.500
234,316.510,468.460
235,113.000,461.000
236,332.500,460.500
237,331.605,464.605
238,292.500,463.500
239,104.000,466.250
240,308.500,466.500
241,306.891,471.543
242,118.300,468.900
243,329.534,474.259
244,530.000,471.500
245,282.500,476.500
246,379.500,476.500
247,611.167,478.389
248,122.667,478.833
249,372.500,477.500
250,527.167,477.833
251,300.500,478.500
252,304.300,479.100
253,307.500,479.000
254,327.500,478.500
255,374.000,479.000
256,531.500,479.000
257,108.500,479.500
258,529.500,479.500
259,615.500,479.500
