 ,X,Y
1,253.500,0.500
2,319.000,68.500
3,313.500,69.500
4,312.000,71.000
5,319.000,70.500
6,308.000,72.000
7,310.500,72.500
8,312.500,73.500
9,315.500,73.500
10,315.167,76.500
11,304.500,77.500
12,362.500,85.500
13,374.500,97.000
14,311.500,100.000
15,330.398,250.898
16,304.500,103.500
17,357.500,104.000
18,386.500,106.500
19,298.500,107.500
20,398.500,109.500
21,294.500,109.500
22,287.500,112.500
23,281.500,116.500
24,388.500,125.500
25,259.100,129.100
26,255.500,131.500
27,265.500,132.500
28,254.500,133.500
29,399.500,140.500
30,243.667,142.667
31,431.500,142.500
32,432.500,144.500
33,250.500,146.500
34,240.000,150.000
35,233.500,155.500
36,233.000,158.500
37,239.000,160.000
38,231.500,160.500
39,236.500,160.500
40,252.500,160.500
41,223.000,163.500
42,251.500,162.500
43,222.500,167.500
44,409.500,172.500
45,229.000,175.000
46,226.500,178.500
47,215.500,181.500
48,207.500,185.500
49,213.500,185.500
50,205.833,187.833
51,211.500,192.500
52,210.500,199.500
53,436.900,206.500
54,200.500,213.500
55,199.500,215.500
56,283.500,215.500
57,282.500,217.500
58,198.000,220.000
59,198.500,223.500
60,341.500,234.500
61,426.500,234.500
62,424.500,236.500
63,346.500,241.500
64,428.500,243.500
65,227.500,246.500
66,197.500,247.500
67,356.500,247.500
68,193.750,249.250
69,189.500,256.000
70,412.500,256.500
71,425.500,256.500
72,427.500,256.500
73,188.500,258.500
74,239.500,259.500
75,194.786,261.786
76,226.375,264.000
77,187.833,261.833
78,225.500,267.500
79,185.500,272.500
80,228.331,290.747
81,430.500,275.000
82,185.500,275.500
83,228.500,276.500
84,189.500,282.000
85,403.500,281.500
86,191.000,288.500
87,194.500,287.500
88,193.500,294.500
89,256.000,296.000
90,410.500,298.000
91,440.500,299.500
92,179.833,302.833
93,410.333,301.500
94,439.500,301.500
95,441.500,301.500
96,259.500,303.500
97,188.875,305.500
98,256.735,307.912
99,389.500,310.000
100,232.000,310.500
101,391.500,310.500
102,183.167,311.833
103,387.500,311.500
104,390.115,313.654
105,236.500,316.000
106,183.500,328.000
107,181.500,336.500
108,228.500,342.500
109,303.000,343.500
110,306.500,346.500
111,304.500,347.500
112,227.500,348.500
113,229.500,349.500
114,305.500,352.500
115,388.500,352.500
116,176.500,353.500
117,227.167,357.389
118,273.500,355.500
119,181.500,356.500
120,166.167,358.500
121,180.500,358.500
122,259.500,358.500
123,261.500,359.500
124,263.500,360.500
125,166.500,365.500
126,175.500,367.500
127,229.500,371.500
128,229.250,374.500
129,162.100,379.900
130,461.750,381.750
131,171.500,381.500
132,473.500,385.500
133,370.500,386.500
134,473.500,387.500
135,475.500,387.500
136,168.500,388.500
137,475.500,389.500
138,479.048,393.694
139,485.500,392.500
140,491.500,393.500
141,494.500,394.500
142,283.500,395.500
143,498.500,395.500
144,165.500,396.500
145,500.500,396.500
146,508.182,398.818
147,164.500,398.500
148,163.500,401.000
149,516.500,400.500
150,518.500,401.500
151,357.500,404.500
152,483.500,405.500
153,355.833,407.500
154,499.941,417.832
155,533.300,407.900
156,158.833,408.500
157,539.500,408.500
158,544.405,412.833
159,364.000,412.167
160,363.000,415.000
161,489.500,414.500
162,224.500,415.500
163,365.500,415.500
164,154.000,418.000
165,357.317,424.950
166,306.500,419.500
167,306.000,421.500
168,487.500,421.500
169,417.500,422.500
170,303.500,424.500
171,305.500,424.500
172,417.500,424.500
173,146.500,425.500
174,364.500,426.500
175,362.500,427.500
176,286.500,430.000
177,322.500,429.500
178,294.500,430.500
179,547.362,438.298
180,552.000,431.000
181,362.500,432.500
182,287.500,432.500
183,498.500,432.500
184,550.500,432.500
185,352.500,433.500
186,552.500,433.500
187,365.500,434.500
188,323.500,436.500
189,392.500,436.500
190,502.000,437.000
191,142.500,437.500
192,506.669,456.962
193,500.500,438.500
194,284.500,439.500
195,288.500,439.500
196,319.500,439.500
197,281.500,441.500
198,319.500,441.500
199,493.173,445.936
200,542.500,443.500
201,333.500,445.000
202,121.750,446.500
203,126.000,447.000
204,284.000,447.000
205,286.500,446.500
206,354.500,446.500
207,359.500,446.500
208,501.500,446.500
209,525.500,446.500
210,549.488,462.183
211,358.559,449.853
212,287.500,448.500
213,462.000,449.000
214,127.833,449.833
215,499.000,450.000
216,282.318,451.318
217,294.500,450.500
218,110.167,452.167
219,276.500,452.500
220,505.500,452.500
221,278.500,454.167
222,285.500,453.500
223,497.500,453.500
224,131.375,456.625
225,208.500,455.500
226,291.500,455.500
227,293.500,455.500
228,124.500,456.500
229,285.500,458.643
230,511.500,456.500
231,514.500,456.500
232,207.000,458.500
233,501.500,458.500
234,514.571,460.143
235,574.500,458.500
236,123.625,462.125
237,218.357,460.786
238,533.567,462.833
239,537.500,460.500
240,113.250,463.000
241,577.488,466.798
242,285.000,462.500
243,277.795,467.159
244,120.500,464.500
245,362.500,464.500
246,541.500,468.500
247,535.500,470.000
248,541.500,470.500
249,543.500,471.500
250,535.929,474.500
251,569.167,472.833
252,571.500,472.500
253,130.500,475.000
254,541.500,474.500
255,567.643,477.214
256,572.500,474.500
257,586.500,474.833
258,533.500,476.000
259,569.500,476.000
260,576.900,477.580
261,119.071,478.214
262,543.750,478.000
263,100.500,477.500
264,111.500,478.500
265,116.500,477.500
266,478.500,478.000
267,532.000,478.000
268,151.500,479.000
269,589.300,479.100
270,174.500,479.500
271,509.500,479.500
