 ,Area,Mean,StdDev,Min,Max,X,Y
159,1,255,0,255,255,451.500,327.500
160,1,255,0,255,255,382.500,328.500
161,2,255,0,255,255,442.000,329.000
162,3,255,0,255,255,454.167,328.833
163,1,255,0,255,255,313.500,329.500
164,1,255,0,255,255,439.500,329.500
165,1,255,0,255,255,452.500,330.500
166,42,255,0,255,255,369.667,335.381
167,2,255,0,255,255,448.500,332.000
168,1,255,0,255,255,311.500,333.500
169,1,255,0,255,255,451.500,334.500
170,1,255,0,255,255,347.500,335.500
171,2,255,0,255,255,349.500,336.000
172,1,255,0,255,255,351.500,335.500
173,3,255,0,255,255,310.500,336.500
174,478,255,0,255,255,333.785,344.893
175,7,255,0,255,255,296.357,339.929
176,7,255,0,255,255,460.643,342.071
177,9,255,0,255,255,361.833,347.167
178,1,255,0,255,255,466.500,345.500
179,1,255,0,255,255,476.500,346.500
180,1,255,0,255,255,248.500,347.500
181,2,255,0,255,255,247.500,350.000
182,1,255,0,255,255,249.500,349.500
183,10,255,0,255,255,413.300,350.800
184,2,255,0,255,255,469.500,350.000
185,3,255,0,255,255,475.167,350.500
186,1,255,0,255,255,245.500,350.500
187,16,255,0,255,255,345.125,353.000
188,24,255,0,255,255,479.333,355.958
189,10,255,0,255,255,246.900,354.000
190,91,255,0,255,255,330.269,359.764
191,2,255,0,255,255,414.500,356.000
192,1,255,0,255,255,349.500,356.500
193,7,255,0,255,255,484.643,358.214
194,1,255,0,255,255,245.500,357.500
195,10,255,0,255,255,412.500,360.300
196,4,255,0,255,255,247.250,360.250
197,22,255,0,255,255,244.500,365.409
198,22,255,0,255,255,493.409,364.591
199,1,255,0,255,255,376.500,363.500
200,6,255,0,255,255,400.333,364.333
201,20,255,0,255,255,411.350,368.450
202,1,255,0,255,255,501.500,367.500
203,1,255,0,255,255,507.500,369.500
204,172,255,0,255,255,229.407,380.709
205,11,255,0,255,255,507.682,373.864
206,5,255,0,255,255,393.900,373.700
207,1,255,0,255,255,224.500,375.500
208,1,255,0,255,255,248.500,376.500
209,1,255,0,255,255,414.500,377.500
210,2,255,0,255,255,400.000,378.500
211,19,255,0,255,255,261.816,385.868
212,1,255,0,255,255,513.500,384.500
213,1,255,0,255,255,274.500,385.500
214,1,255,0,255,255,296.500,385.500
215,1,255,0,255,255,278.500,386.500
216,4,255,0,255,255,288.750,387.250
217,2,255,0,255,255,403.500,387.000
218,2,255,0,255,255,360.500,390.000
219,1,255,0,255,255,240.500,390.500
220,4,255,0,255,255,266.000,391.500
221,9,255,0,255,255,324.500,391.056
222,3,255,0,255,255,357.167,391.167
223,7,255,0,255,255,413.357,394.357
224,3,255,0,255,255,239.500,393.167
225,1,255,0,255,255,242.500,393.500
226,1,255,0,255,255,271.500,393.500
227,1,255,0,255,255,493.500,393.500
228,2,255,0,255,255,325.000,394.500
229,1,255,0,255,255,504.500,394.500
230,2,255,0,255,255,199.000,395.500
231,1,255,0,255,255,271.500,395.500
