 ,X,Y
1,128.000,0.500
2,341.500,41.500
3,343.500,42.500
4,288.500,44.500
5,287.000,46.000
6,308.500,45.500
7,306.500,47.500
8,390.167,74.167
9,390.500,77.000
10,282.962,98.192
11,221.500,113.500
12,344.962,126.731
13,294.121,139.039
14,279.035,127.709
15,286.500,124.500
16,285.000,126.000
17,339.731,135.654
18,343.500,133.500
19,363.049,165.544
20,395.200,143.500
21,239.026,151.237
22,289.750,162.250
23,272.312,179.108
24,322.396,243.971
25,433.399,205.482
26,208.277,212.819
27,376.145,217.935
28,377.000,204.500
29,260.430,231.401
30,427.638,225.425
31,281.500,224.000
32,217.415,230.975
33,278.500,224.500
34,375.000,231.500
35,211.500,232.500
36,382.000,233.000
37,211.583,237.667
38,381.000,236.000
39,425.167,245.667
40,222.278,250.611
41,405.000,298.000
42,321.688,306.730
43,400.210,307.242
44,237.500,307.500
45,241.500,308.500
46,242.500,311.500
47,242.500,317.000
48,395.151,328.620
49,242.500,319.500
50,330.163,327.815
51,245.500,325.500
52,324.500,325.500
53,313.669,336.488
54,244.066,364.112
55,305.500,329.500
56,320.500,332.500
57,390.500,332.500
58,302.500,335.500
59,323.500,335.500
60,334.598,339.043
61,347.436,398.532
62,306.500,342.500
63,303.500,344.500
64,305.500,345.500
65,315.000,345.500
66,308.000,347.000
67,317.500,346.500
68,306.500,348.500
69,335.500,350.000
70,390.000,353.000
71,324.545,356.091
72,392.767,357.300
73,341.500,360.250
74,389.500,360.000
75,361.167,363.500
76,355.500,372.500
77,326.900,376.729
78,320.500,376.500
79,355.000,380.000
80,389.100,381.700
81,386.000,386.000
82,242.500,397.000
83,323.667,398.167
84,326.500,398.500
85,309.500,407.500
86,249.500,411.500
87,252.200,415.600
88,256.000,419.500
89,264.763,423.763
90,301.500,423.500
