 ,X,Y
1,322.500,30.500
2,315.672,101.548
3,321.500,33.500
4,300.500,40.500
5,365.000,40.500
6,348.500,49.500
7,282.000,54.500
8,379.500,56.500
9,355.000,60.250
10,416.056,77.202
11,362.500,74.500
12,423.500,82.500
13,425.500,88.500
14,426.500,90.500
15,428.500,90.500
16,426.541,111.065
17,427.500,92.500
18,430.000,92.500
19,303.500,94.500
20,429.000,94.500
21,416.500,95.500
22,413.500,104.500
23,299.405,110.262
24,413.500,110.500
25,376.500,114.000
26,298.000,115.500
27,394.500,117.500
28,414.500,117.500
29,228.438,123.125
30,413.000,119.500
31,412.500,123.500
32,301.167,126.000
33,415.900,126.300
34,357.500,126.500
35,228.000,127.500
36,303.500,128.500
37,324.500,129.500
38,441.012,142.264
39,297.000,130.000
40,226.500,130.500
41,321.000,134.000
42,315.500,134.500
43,318.500,135.500
44,369.000,135.500
45,372.500,135.500
46,223.214,144.964
47,223.500,152.500
48,408.500,153.000
49,218.184,158.763
50,392.500,155.500
51,330.500,159.500
52,336.839,245.332
53,296.500,160.500
54,298.500,160.500
55,327.500,161.500
56,386.000,166.000
57,455.847,183.477
58,217.500,170.500
59,216.500,172.500
60,220.000,172.500
61,218.500,174.500
62,262.100,179.500
63,265.980,182.940
64,215.000,183.000
65,289.500,182.500
66,377.000,183.000
67,418.500,182.500
68,217.500,184.500
69,260.500,183.500
70,286.786,184.929
71,417.500,185.625
72,414.500,185.500
73,218.298,198.287
74,278.500,195.500
75,292.000,195.500
76,421.500,195.500
77,423.500,196.000
78,212.500,201.000
79,308.500,201.500
80,223.500,203.000
81,307.500,204.500
82,220.688,220.718
83,412.500,218.000
84,447.667,221.917
85,448.167,228.167
86,431.197,239.763
87,437.500,237.000
88,295.300,254.500
89,287.500,260.500
90,265.427,270.300
91,274.500,265.500
92,359.500,265.500
93,371.500,270.000
94,369.000,271.750
95,271.500,285.500
96,273.500,285.500
97,372.500,296.500
98,357.500,301.500
99,412.500,316.500
100,411.500,318.500
101,360.750,322.750
102,398.312,359.222
103,293.860,373.731
104,311.500,340.500
105,368.500,343.000
106,250.500,372.500
107,249.500,374.500
108,364.500,383.900
109,408.000,448.850
110,247.500,465.500
111,247.850,471.450
112,251.500,477.500
113,257.500,478.750
