 ,X,Y
1,338.000,48.000
2,302.000,51.500
3,340.500,51.500
4,299.500,52.500
5,271.500,53.500
6,277.500,53.500
7,274.250,55.500
8,270.500,56.500
9,380.500,69.500
10,378.500,70.500
11,383.500,77.500
12,389.000,81.000
13,402.500,99.500
14,403.500,102.500
15,307.667,111.583
16,318.500,113.500
17,219.500,117.500
18,285.802,160.727
19,218.500,120.500
20,301.333,123.167
21,285.500,123.500
22,288.250,124.500
23,306.500,125.500
24,317.500,133.500
25,328.500,136.500
26,324.228,234.864
27,336.500,144.500
28,335.500,146.500
29,323.000,150.500
30,391.500,150.500
31,307.429,160.357
32,233.500,164.500
33,326.115,190.962
34,329.500,188.500
35,319.500,192.500
36,319.500,195.000
37,326.500,194.500
38,432.555,204.547
39,205.134,214.116
40,345.500,207.500
41,426.900,224.844
42,214.344,231.604
43,208.306,238.919
44,424.111,244.556
45,219.000,252.500
46,392.996,334.465
47,318.565,320.459
48,335.500,326.833
49,244.500,328.500
50,323.240,345.517
51,243.022,364.619
52,387.500,333.500
53,382.500,343.500
54,379.000,344.500
55,380.500,346.500
56,302.500,348.500
57,347.593,407.026
58,303.167,352.000
59,386.958,354.250
60,382.500,351.500
61,323.545,361.909
62,386.500,360.750
63,388.500,359.500
64,390.500,360.500
65,393.500,364.500
66,373.500,361.500
67,385.500,363.500
68,391.500,364.000
69,325.500,365.500
70,384.500,367.500
71,384.500,369.500
72,377.643,372.071
73,363.500,374.500
74,391.500,374.500
75,390.500,377.500
76,380.500,378.500
77,382.500,379.500
78,388.900,381.300
79,378.000,381.000
80,375.000,381.500
81,354.500,382.500
82,376.000,384.500
83,323.833,405.167
84,367.500,404.500
85,247.500,417.500
86,250.000,423.000
87,255.000,426.500
88,258.000,428.500
89,261.357,430.071
