 ,X,Y
1,305.608,229.347
2,323.214,49.214
3,281.500,53.000
4,344.000,56.000
5,339.458,60.208
6,342.500,57.500
7,248.500,60.833
8,269.500,63.500
9,373.955,73.682
10,370.500,76.500
11,396.500,101.500
12,213.500,107.500
13,211.500,121.500
14,397.500,124.500
15,404.500,128.500
16,407.000,129.000
17,404.500,147.500
18,380.500,156.500
19,404.250,166.750
20,401.500,167.500
21,405.500,173.500
22,404.500,186.500
23,207.500,194.500
24,411.427,230.796
25,396.500,232.500
26,401.500,240.500
27,221.500,261.000
28,234.500,289.500
29,238.000,292.000
30,391.500,301.500
31,256.500,313.000
32,381.500,333.000
33,256.500,339.500
34,253.500,343.100
35,215.208,376.604
36,252.500,384.500
