 ,X,Y
1,343.500,16.500
2,331.500,19.500
3,330.500,21.500
4,315.500,22.500
5,333.000,23.500
6,383.500,24.500
7,368.425,45.533
8,384.000,26.500
9,387.500,28.500
10,390.250,29.500
11,296.500,31.500
12,279.711,37.447
13,393.300,37.500
14,335.955,181.260
15,406.500,40.500
16,272.071,44.571
17,407.375,44.375
18,345.500,45.000
19,414.500,44.500
20,405.500,45.500
21,257.500,46.500
22,417.775,49.725
23,336.500,47.500
24,345.500,48.500
25,405.500,49.500
26,264.000,51.000
27,259.500,52.000
28,261.500,51.500
29,374.500,51.500
30,254.200,55.700
31,376.500,53.000
32,368.500,53.500
33,373.875,57.500
34,376.500,55.500
35,250.500,58.500
36,428.500,58.500
37,248.500,59.500
38,390.500,61.333
39,245.368,68.382
40,254.500,61.500
41,430.375,64.250
42,405.000,65.000
43,427.808,68.115
44,267.500,67.500
45,393.690,74.024
46,430.932,91.500
47,405.500,73.500
48,436.000,73.500
49,407.000,75.000
50,438.500,74.500
51,441.500,78.500
52,421.500,79.500
53,238.500,81.000
54,440.400,82.700
55,237.194,87.092
56,431.500,85.500
57,394.100,87.300
58,439.500,88.000
59,442.600,90.600
60,437.500,91.500
61,439.500,91.500
62,232.240,102.240
63,235.500,92.500
64,403.500,92.500
65,230.500,95.000
66,438.500,95.000
67,440.500,97.000
68,439.500,99.500
69,229.167,101.500
70,393.000,104.000
71,392.000,107.000
72,400.759,110.870
73,394.500,114.500
74,230.352,122.204
75,266.500,118.500
76,274.500,118.500
77,406.000,118.500
78,433.900,120.300
79,265.500,122.643
80,272.500,121.357
81,435.500,122.500
82,254.500,124.833
83,255.500,126.500
84,436.250,128.500
85,228.000,130.000
86,227.700,134.000
87,438.000,132.000
88,439.500,133.500
89,442.600,140.600
90,244.887,147.855
91,442.500,144.500
92,263.500,145.500
93,411.500,145.500
94,451.167,156.167
95,225.900,159.300
96,443.056,167.611
97,445.500,166.000
98,226.500,169.500
99,450.062,210.103
100,226.500,182.000
101,443.000,185.000
102,446.500,186.500
103,444.500,187.500
104,225.904,209.408
105,396.500,188.500
106,425.662,193.797
107,266.500,199.500
108,235.364,239.818
109,262.500,254.333
110,260.333,259.333
111,396.011,282.739
112,297.900,281.700
113,427.500,283.500
114,421.457,289.848
115,302.000,289.583
116,306.500,285.500
117,429.000,285.750
118,291.750,291.300
119,434.071,289.643
120,368.732,297.446
121,388.583,295.917
122,393.500,293.500
123,416.500,297.500
124,346.871,380.576
125,416.167,302.667
126,361.833,305.500
127,415.500,308.500
128,354.995,335.418
129,362.900,331.300
130,367.000,330.500
131,331.500,332.500
132,336.200,333.800
133,387.900,344.300
134,353.722,358.389
135,407.125,360.375
136,348.500,372.500
137,347.500,374.500
138,364.500,377.500
139,362.000,379.000
140,366.500,378.500
141,343.310,382.262
142,364.000,380.000
143,365.500,381.500
144,336.500,403.500
145,271.500,406.500
146,344.500,418.500
