 ,X,Y
1,337.175,121.947
2,347.500,90.000
3,214.500,101.500
4,303.833,102.333
5,343.500,101.500
6,345.500,103.500
7,296.500,103.500
8,310.500,106.000
9,334.912,108.588
10,348.000,105.500
11,346.000,107.500
12,304.417,112.042
13,342.469,119.167
14,348.500,109.500
15,320.950,116.250
16,310.400,115.800
17,347.500,117.500
18,308.500,118.500
19,324.500,119.500
20,336.500,123.500
21,322.786,130.500
22,330.500,132.500
23,317.500,135.500
24,351.500,145.500
25,304.191,151.221
26,284.500,150.500
27,297.310,181.383
28,307.500,160.500
29,344.500,163.500
30,342.500,168.500
31,352.000,170.500
32,343.833,172.167
33,340.535,181.581
34,213.500,188.500
35,338.049,277.779
36,322.500,206.500
37,205.500,214.000
38,306.500,219.500
39,205.056,234.500
40,212.278,241.389
41,208.500,240.500
42,345.500,254.500
43,320.500,255.500
44,266.500,260.500
45,325.500,262.500
46,375.000,265.000
47,267.500,273.500
48,268.300,275.900
49,297.500,290.500
50,382.500,295.500
51,308.100,303.300
52,436.500,317.500
53,441.500,320.125
54,305.667,320.500
55,309.500,321.500
56,450.033,324.633
57,457.500,328.500
58,464.500,332.500
59,466.500,333.500
60,417.500,337.500
61,471.500,337.500
62,477.500,345.500
63,480.475,351.075
64,368.000,349.000
65,244.053,371.672
66,366.500,351.500
67,490.333,356.167
68,490.500,358.500
69,416.500,365.292
70,501.500,363.000
71,359.500,366.500
72,413.750,369.500
73,509.300,369.100
74,413.167,375.500
75,415.500,375.500
76,287.833,376.167
77,289.500,378.500
78,287.500,379.500
79,291.286,381.357
80,299.900,382.250
81,402.000,379.500
82,280.500,380.500
83,249.500,382.500
84,282.500,382.500
85,269.329,386.841
86,366.000,384.500
87,375.900,386.000
88,347.643,385.929
89,408.500,385.500
90,293.233,393.067
91,346.100,390.900
92,251.868,394.237
93,334.000,390.500
94,246.214,393.500
95,248.500,392.000
96,359.000,391.500
97,281.500,395.278
98,323.500,392.500
99,205.167,394.167
100,343.500,393.500
101,386.500,394.500
102,419.088,396.618
103,202.500,394.500
104,297.500,394.500
105,381.500,395.000
106,314.364,397.727
107,202.000,396.500
108,266.083,401.167
109,298.500,399.000
110,263.500,400.500
111,281.409,401.864
112,327.167,401.167
113,337.000,402.000
114,195.000,402.250
115,253.500,403.900
116,307.833,403.278
117,354.611,404.722
118,401.000,404.000
119,499.333,405.333
120,250.500,405.000
121,285.700,405.100
122,417.261,412.957
123,188.000,409.250
124,281.000,409.000
125,277.500,410.000
126,512.500,409.500
127,291.357,413.500
128,304.900,411.300
129,331.667,411.167
130,490.500,410.500
131,510.250,411.250
132,244.000,412.000
133,316.500,412.500
134,183.500,412.500
135,488.000,412.500
136,512.500,412.500
137,243.500,414.500
138,365.500,414.500
139,505.900,415.900
140,180.500,415.500
141,293.500,415.500
142,429.500,416.000
143,177.500,417.500
144,310.500,417.500
145,427.250,418.250
146,512.000,418.000
147,429.500,418.500
148,431.500,419.250
149,505.500,419.250
150,508.500,418.500
151,425.071,421.286
152,304.900,421.700
153,461.773,421.864
154,492.962,421.885
155,509.500,420.500
156,317.167,422.611
157,501.100,422.800
158,507.500,421.500
159,292.620,424.260
160,429.500,422.500
161,312.214,426.071
162,431.329,433.171
163,446.500,424.500
164,387.208,427.500
165,442.500,425.500
166,167.500,427.833
167,308.500,428.300
168,394.052,430.259
169,261.552,437.428
170,270.500,428.500
171,411.333,429.833
172,282.000,430.000
173,335.500,429.500
174,169.000,431.000
175,331.500,430.500
176,355.591,433.227
177,408.500,430.500
178,297.000,431.500
179,369.750,432.500
180,251.750,434.125
181,274.611,435.333
182,340.459,435.405
183,323.976,435.500
184,409.145,439.909
185,163.583,438.000
186,371.000,436.500
187,473.500,436.500
188,379.500,437.500
189,469.654,440.808
190,356.000,440.000
191,389.500,439.500
192,464.500,439.500
193,159.833,441.833
194,316.605,445.921
195,343.500,442.500
196,347.333,443.333
197,306.500,444.500
198,333.833,444.833
199,241.000,444.500
200,299.136,451.080
201,469.167,446.000
202,162.500,446.500
203,254.508,466.430
204,286.000,447.000
205,160.500,447.500
206,253.593,453.667
207,157.500,449.500
208,159.500,449.500
209,406.500,449.500
210,460.500,449.500
211,403.500,450.500
212,409.342,460.974
213,453.500,450.500
214,465.500,450.500
215,231.643,453.690
216,264.750,453.167
217,392.135,470.021
218,313.786,456.071
219,276.000,457.000
220,293.167,459.214
221,457.500,457.500
222,451.500,458.500
223,455.000,458.500
224,297.198,466.058
225,329.500,463.214
226,189.833,464.167
227,277.214,467.381
228,310.186,467.304
229,197.500,464.500
230,199.500,464.500
231,201.833,464.833
232,207.500,464.833
233,222.000,465.000
234,212.500,465.500
235,218.500,465.500
236,226.500,465.500
237,231.500,466.500
238,331.722,470.296
239,289.500,468.500
240,316.190,472.293
241,340.500,470.500
242,290.500,474.500
243,294.500,473.500
244,356.561,477.684
245,230.068,477.230
246,232.500,474.500
247,398.500,475.000
248,342.978,477.413
249,237.000,478.750
250,320.136,478.864
251,397.500,477.500
252,308.500,479.000
253,579.500,478.500
254,292.500,479.500
255,338.000,479.500
256,371.000,479.500
