 ,X,Y
1,67.500,0.500
2,2.500,1.500
3,319.000,70.000
4,314.500,70.500
5,321.500,72.500
6,306.500,75.500
7,308.500,75.500
8,314.500,78.000
9,319.250,79.750
10,312.500,80.500
11,315.000,81.500
12,321.500,82.500
13,299.500,86.500
14,296.500,87.500
15,289.500,90.500
16,379.500,91.500
17,334.500,96.500
18,311.500,100.500
19,328.543,256.235
20,324.214,102.214
21,345.500,100.500
22,384.500,101.500
23,386.500,102.000
24,310.500,102.500
25,271.500,103.500
26,322.000,104.000
27,305.000,104.750
28,351.500,105.500
29,361.500,112.500
30,371.500,115.500
31,284.500,117.000
32,286.500,116.500
33,384.500,122.214
34,386.500,123.500
35,260.000,129.500
36,256.500,132.500
37,258.500,133.500
38,250.500,138.500
39,246.500,144.500
40,246.333,148.000
41,237.000,149.000
42,235.500,150.500
43,243.333,152.333
44,249.500,150.500
45,219.500,154.500
46,226.400,158.600
47,222.500,158.500
48,253.500,159.500
49,222.833,161.500
50,438.000,161.500
51,226.500,162.500
52,237.500,163.167
53,213.500,163.500
54,243.500,164.300
55,250.500,163.500
56,217.000,165.000
57,222.000,165.000
58,238.500,165.500
59,221.500,169.500
60,202.500,177.500
61,208.460,183.700
62,201.500,189.500
63,207.093,193.574
64,203.000,195.000
65,447.500,199.676
66,197.000,197.000
67,237.500,198.500
68,240.500,199.000
69,414.500,198.500
70,202.500,199.500
71,198.029,212.943
72,241.500,214.500
73,241.167,217.500
74,321.500,216.500
75,319.500,219.000
76,238.500,218.500
77,321.750,219.750
78,240.500,220.500
79,240.500,223.500
80,193.833,228.500
81,339.500,228.500
82,188.833,234.417
83,192.500,236.500
84,228.500,237.500
85,190.500,238.500
86,193.500,238.500
87,234.500,238.500
88,189.500,240.500
89,187.000,242.000
90,231.500,241.500
91,188.000,245.000
92,200.500,244.500
93,228.000,246.750
94,185.500,247.500
95,187.700,252.700
96,190.500,248.000
97,427.500,248.500
98,185.500,250.000
99,226.500,252.500
100,225.500,254.500
101,225.500,256.500
102,188.722,259.167
103,184.500,260.500
104,194.500,260.500
105,407.500,263.500
106,223.500,270.500
107,223.000,273.500
108,222.500,275.500
109,221.750,278.750
110,185.500,278.500
111,189.500,280.500
112,432.500,282.000
113,180.167,286.500
114,191.500,285.500
115,244.300,288.400
116,192.500,287.500
117,432.500,288.500
118,409.000,297.250
119,180.929,301.214
120,187.000,299.500
121,184.500,300.500
