 ,X,Y
1,325.500,33.500
2,315.500,39.500
3,290.500,41.500
4,301.500,40.500
5,312.167,41.500
6,275.120,48.348
7,284.500,41.500
8,322.167,42.167
9,282.500,42.500
10,310.500,43.500
11,318.500,43.500
12,300.500,44.500
13,334.647,71.179
14,257.500,48.500
15,313.500,49.000
16,337.500,48.500
17,255.045,50.864
18,281.500,50.500
19,295.000,51.500
20,318.500,51.500
21,290.250,53.500
22,251.500,53.500
23,356.500,53.500
24,260.000,55.250
25,359.500,54.500
26,262.500,55.500
27,357.500,55.500
28,362.000,56.000
29,366.000,56.000
30,249.409,58.773
31,345.500,56.500
32,262.750,59.000
33,355.000,58.000
34,375.019,62.685
35,266.954,68.888
36,356.000,61.500
37,362.500,61.500
38,354.000,63.250
39,368.500,62.500
40,244.192,65.808
41,256.100,65.300
42,251.600,66.100
43,310.500,67.500
44,355.500,65.500
45,377.500,67.500
46,273.000,68.500
47,254.500,69.500
48,251.500,70.500
49,372.500,72.000
50,233.500,73.500
51,282.500,73.500
52,277.500,75.500
53,309.500,75.500
54,242.500,76.500
55,311.000,77.000
56,313.500,76.500
57,237.456,85.846
58,242.500,78.500
59,402.500,79.100
60,399.500,79.500
61,249.500,82.000
62,252.000,82.000
63,332.500,81.500
64,326.384,210.640
65,249.500,84.500
66,340.500,88.500
67,367.289,95.855
68,386.722,96.167
69,277.500,99.500
70,372.500,101.500
71,390.500,101.500
72,400.117,111.891
73,377.280,114.680
74,221.000,114.500
75,223.500,114.500
76,409.000,116.000
77,412.786,119.000
78,399.500,119.500
79,374.500,123.500
80,370.000,126.500
81,367.500,128.500
82,404.500,128.500
83,369.500,131.000
84,374.000,131.000
85,408.500,130.500
86,407.500,134.000
87,410.500,134.500
88,384.551,138.987
89,368.583,142.625
90,378.500,143.500
91,391.500,145.500
92,282.500,149.500
93,273.389,153.500
94,281.500,151.500
95,409.500,158.500
96,411.500,159.500
97,367.500,164.500
98,377.056,169.722
99,379.500,168.000
100,385.667,170.000
101,271.500,170.500
102,379.500,172.500
103,387.500,172.500
104,376.500,173.500
105,263.500,180.500
106,254.000,181.500
107,257.833,182.500
108,391.500,186.000
109,389.500,187.500
110,255.500,187.500
111,253.500,188.500
112,407.750,192.125
113,391.056,193.944
114,255.500,192.500
115,418.937,227.448
116,393.500,195.500
117,377.500,198.500
118,407.500,199.000
119,382.196,201.978
120,247.500,201.500
121,386.500,203.500
122,213.191,239.123
123,249.500,218.000
124,261.000,217.500
125,255.208,229.208
126,254.500,234.500
127,252.978,238.543
128,381.500,242.000
129,257.500,245.000
130,372.500,245.000
131,401.250,257.150
132,393.143,259.571
133,240.500,257.500
134,239.500,259.500
135,260.929,264.786
136,385.500,265.500
137,391.500,269.000
138,368.000,276.000
139,277.500,283.500
140,378.500,291.500
141,395.500,292.500
142,351.500,300.500
143,371.000,304.500
144,283.500,308.500
145,302.500,319.971
146,259.500,318.500
147,352.500,331.833
148,301.500,333.500
149,339.500,342.500
150,337.000,343.500
151,334.000,345.000
152,331.500,345.500
153,404.346,353.077
154,222.464,369.288
155,402.717,366.152
156,267.583,372.917
157,390.250,372.250
158,269.500,377.500
159,272.500,379.500
160,274.000,381.000
161,266.500,387.000
162,269.500,387.500
163,359.500,388.000
164,379.500,392.500
165,375.583,395.500
166,274.000,398.500
167,372.000,398.500
